user_id,status_id,created_at,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count
4607024296,1.23292E+18,2/27/20 6:41, SaudiArabia foreign ministry on Thursday said It suspended visas for pilgrims who are wishing to visit Mecca over coronavirus fears Umrah attracts tens of thousands of devout Muslims Around World each month UmrahPilgrims Umrah Mecca Covid 19 ,Twitter Web Client,299,NA,NA,NA,TRUE,FALSE,0,0,NA,NA
4607024296,1.23292E+18,2/27/20 6:37, Denmark Norway both report first coronavirus cases A Danish male tested positive for COVID19 after returning from Italy on Monday according to local media ,Twitter Web Client,211,NA,NA,NA,TRUE,FALSE,0,0,NA,NA
4607024296,1.23292E+18,2/27/20 6:30,A woman is getting arrested by Chinese police for not wearing the face mask coronavirus Covid 19 Why don't these people wear masks Is it scarcity not understanding intelligence or what ,Twitter Web Client,239,NA,NA,NA,TRUE,FALSE,0,0,NA,NA
220262017,1.23292E+18,2/27/20 6:41, SocialM85897394 Nah this is a spoof like the paypal emails I receive and the existence of coronavirus ,Twitter Web App,94,1.23282E+18,8.79333E+17,SocialM85897394,FALSE,FALSE,0,0,NA,NA
7.87882E+17,1.23292E+18,2/27/20 6:34,U S stockfutures on Thursday morning pointed to significant declines at the day's open even after President Donald Trump tried to assuage concerns over the coronavirus outbreak ,Twitter for Android,204,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
7.87882E+17,1.23292E+18,2/27/20 6:41,Biotech company Moderna MRNA says its coronavirus vaccine is ready for first tests ,Twitter for Android,108,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
7.57862E+17,1.23292E+18,2/27/20 6:41, coronavirus DON'T do not touch your eyes nose or mouth if your hands are not clean TREATMENT OF COVID-19 There is no cure no specific treatment for coronavirus So treatments include self care and over the counter OTC medication ,Twitter for Android,242,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
7.57862E+17,1.23292E+18,2/27/20 6:38,Continue Symptoms include o sneezing o runny nose o fatigue o cough o fever in rare cases o sore throat o exacerbated asthma o shortness of breath But these symptoms do not necessarily mean you have the illness coronavirus,Twitter for Android,227,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
7.57862E+17,1.23292E+18,2/27/20 6:39, coronavirus The symptoms are similar to other illnesses that are much more common such as cold and flu DO wash your hands with soap and water often - use hand sanitiser gel if soap and water are not available try to avoid close contact with people who are unwell,Twitter for Android,272,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
1.14202E+18,1.23292E+18,2/27/20 6:41,900 people get coronavirus and the whole world wants to wear a surgical mask 30 million people have AIDS but still nobody wants to wear a Condom Inside Life Copied ,Twitter for Android,172,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
117208841,1.23292E+18,2/27/20 6:41,After a comprehensive run down of stuff we've read about coronavirus at work we came to the conclusion that working in transport we're likely going to get it at some point so moved on to trying to guess which ones of us would likely die and who gets the overtime ,Twitter Web App,270,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
1.0045E+18,1.23292E+18,2/27/20 6:41,The Daily Show with Trevor Noah Coronavirus ,Twitter for iPhone,44,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
243048013,1.23292E+18,2/27/20 6:41,First two months of 2020 has seen a 4 5 price appreciation in low grown teas The important question is will it hold give the impact the coronavirus is having on Iran ,Twitter for Android,169,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
50110800,1.23292E+18,2/27/20 6:41,Hats off to Balochistan and Sindh government who got active and fighting the coronavirus As usual the Federal government it is is dreaming and sleeping National disaster in the selected pm is enjoying his is Qatar trip ,Twitter for Android,231,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
127821763,1.23292E+18,2/27/20 6:41,No compassion integrity or empathy for animals and using them just to feed your stomachs I don't know the exact causes for coronavirus but certain inferences can surely be drawn Go on kill and eat those poor lives and you think you'll be spared Karma coronavirus,Twitter for iPhone,268,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
9.49279E+17,1.23292E+18,2/27/20 6:41,You watch It won't be long before dimwit deluded PritiPatel starts blaming Freedom of Movement for the spreading of coronavirus Brexitshambles COVID19 BLOTUS CoronavirusOutbreak,Twitter for iPhone,185,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
1.19731E+18,1.23292E+18,2/27/20 6:41,Rational talk from an infectious diseases specialist - 'Plan but don't panic' What you can do to prevent the spread of Coronavirus ,Twitter for iPhone,157,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
245433055,1.23292E+18,2/27/20 6:41,This image talk much about Kenya coronavirus ,Twitter for Android,46,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
26182584,1.23292E+18,2/27/20 6:41,Meet Flu Efficient killer Coronavirus's cousin with just a worse publicist coronavirus Covid 19 ,Twitter for Android,100,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
