,census_bg,Total Area in acres,Total Land Area in acres,Tree Canopy in acres,Tree Canopy area in percent,Vegetation in acres,Vegetation Percentage,Building area in acres,Building area in percent,Total Impervious Area in acres,Total Impervious Area in percent,Road Acres,Road Area in percent,Sidewalk Area in acres,Sidewalk Area in percent,Other Impervious Area in acres,Other Impervious Area in percent,Surface Water Area in acres,Surface Water Area in percent,Soil area in acres,Soil area in percent,Urban Tree Canopy area in acres,Urban Tree Canopy area percent,Possible Vegetation Planting Area in acres,Possible Vegetation Planting Area in percent,Total Possible Planting Area in acres,Total Possible Planting Area in percent,Impervious Possible Planting Area in acres,Impervious Possible Planting Area in percent,Unsuitable Impervious Planting Buildings and Roads Area in acres,Unsuitable Impervious Planting Buildings and Roads Area in percent,Total Unsuitable Planting Area in acres,Total Unsuitable Planting Area in percent,Unsuitable Soil and Vegetation Area in acres,Unsuitable Soil and Vegetation Area in percent,Unsuitable Other Land Area in acres,Unsuitable Other Land Area in percent,SHAPEAREA,SHAPELEN,Geographic Area Name,Income in the past 12 months below poverty level,Median household income in the past 12 months,Total Population,Total Population of one race,Total White Population,Total African American Population,Total American Indian Population,Total Asian Population,Total Native Hawaiian Population,Total Population of Other Races
313,110010078031,119.1,118.84,61.02,51.34634803,11.26,9.47492427,12.33,10.37529451,45.35,38.160552,18.35,15.44092898,5.04,4.2409963,9.64,8.11174689,0.26,0.22178607,1.21,1.0181757,61.02,51.34634803,9.25,7.78357455,23.83,20.05217099,14.58,12.26859643,30.68,25.81622349,33.99,28.60148098,0.57,0.47963649,2.74,2.305621,5188028.06715314,11113.3734172799,"Block Group 1, Census Tract 78.03, District of Columbia, District of Columbia",94,31307,1560.0,1481.0,53.0,1362.0,1.0,3.0,0.0,62.0
314,110010078032,34.09,34.09,12.56,36.84364916,6.74,19.7711939,4.59,13.46435905,14.79,43.38515694,5.06,14.84306248,0.93,2.72807275,4.23,12.40833089,0.0,0.0,0.0,0.0,12.56,36.84364916,6.74,19.7711939,11.89,34.87826342,5.15,15.10706952,9.64,28.27808742,9.64,28.27808742,0.0,0.0,0.0,0.0,1485032.47786878,5000.7213680922,"Block Group 2, Census Tract 78.03, District of Columbia, District of Columbia",39,64115,748.0,712.0,19.0,650.0,1.0,3.0,0.0,39.0
315,110010078033,44.86,44.86,14.61,32.5679893,7.58,16.89701293,6.68,14.89077129,22.64,50.46812305,9.4,20.95407936,1.81,4.03477486,4.75,10.58849755,0.0,0.0,0.02,0.04458315,14.61,32.5679893,7.57,16.87472136,13.91,31.00757914,6.34,14.13285778,16.08,35.84485065,16.34,36.42443156,0.02,0.04458315,0.23,0.5127062,1954094.16254742,5660.9423813168005,"Block Group 3, Census Tract 78.03, District of Columbia, District of Columbia",0,112643,952.0,890.0,42.0,816.0,5.0,5.0,1.0,21.0
316,110010078034,49.71,49.71,17.48,35.16395092,8.09,16.27439147,8.38,16.8577751,24.03,48.34037417,8.1,16.29450815,1.62,3.25890163,5.93,11.9291893,0.0,0.0,0.1,0.20116677,17.48,35.16395092,8.09,16.27439147,15.65,31.48259907,7.56,15.2082076,16.48,33.15228324,16.58,33.35345001,0.1,0.20116677,0.0,0.0,2165155.93706903,6538.10174338961,"Block Group 4, Census Tract 78.03, District of Columbia, District of Columbia",96,35858,1330.0,1271.0,38.0,1175.0,1.0,5.0,0.0,52.0
317,110010078041,67.91,67.53,24.36,36.07285651,12.14,17.97719532,7.09,10.49903746,30.55,45.23915297,14.89,22.0494595,2.9,4.29438768,5.67,8.39626833,0.38,0.55383115,0.47,0.69598697,24.36,36.07285651,12.12,17.94757885,19.98,29.58685029,7.86,11.63927143,21.98,32.54849696,23.19,34.340293200000005,0.47,0.69598697,0.73,1.08100104,2958495.30258641,11780.1195208923,"Block Group 1, Census Tract 78.04, District of Columbia, District of Columbia",50,56211,1483.0,1438.0,25.0,1373.0,3.0,7.0,0.0,30.0
318,110010078042,87.88,87.83,23.7,26.98394626,24.68,28.09973813,10.84,12.34202437,39.45,44.91631561,13.36,15.21120346,5.94,6.76306501,9.3,10.58863714,0.05,0.051458699999999996,0.0,0.0,23.7,26.98394626,21.98,25.02561767,35.58,40.51007628,13.6,15.48445861,24.21,27.56461346,28.55,32.50597746,0.0,0.0,4.34,4.941364,3828018.15921219,7951.584266014829,"Block Group 2, Census Tract 78.04, District of Columbia, District of Columbia",166,94605,1308.0,1254.0,19.0,1199.0,12.0,3.0,0.0,21.0
319,110010078043,53.72,53.72,18.39,34.23306031,10.99,20.45793001,7.53,14.01712584,24.3,45.23454952,9.93,18.48473567,1.32,2.45718541,5.52,10.27550261,0.0,0.0,0.02,0.03723008,18.39,34.23306031,10.86,20.21593448,17.63,32.8183172,6.77,12.60238273,17.46,32.5018615,17.69,32.93000745,0.02,0.03723008,0.21,0.39091586,2339698.17670825,7430.9168317146205,"Block Group 3, Census Tract 78.04, District of Columbia, District of Columbia",0,49185,708.0,678.0,31.0,628.0,6.0,4.0,0.0,9.0
320,110010078061,73.2,73.2,22.62,30.90163934,15.32,20.92896175,10.69,14.60382514,35.26,48.16939891,13.71,18.729508199999998,2.46,3.36065574,8.39,11.46174863,0.0,0.0,0.0,0.0,22.62,30.90163934,13.52,18.46994536,23.64,32.29508197,10.12,13.82513661,24.39,33.31967213,26.94,36.80327869,0.0,0.0,2.56,3.49726776,3188806.65678777,8778.30722285892,"Block Group 1, Census Tract 78.06, District of Columbia, District of Columbia",15,53363,1404.0,1360.0,46.0,1240.0,9.0,1.0,2.0,62.0
321,110010078062,97.02,97.02,27.25,28.08699237,15.57,16.04823748,13.24,13.64667079,54.21,55.875077299999994,19.89,20.50092764,4.67,4.81344053,16.4,16.90373119,0.0,0.0,0.0,0.0,27.25,28.08699237,15.5,15.9760874,33.61,34.64234179,18.11,18.66625438,33.12,34.13729128,36.17,37.280972999999996,0.0,0.0,3.05,3.14368172,4226243.75803588,10050.5016939676,"Block Group 2, Census Tract 78.06, District of Columbia, District of Columbia",33,31904,2053.0,1980.0,78.0,1824.0,14.0,8.0,2.0,54.0
322,110010078071,59.9,59.9,22.35,37.31218698,11.57,19.31552588,7.77,12.97161937,25.99,43.38898164,11.1,18.53088481,1.96,3.2721202000000003,5.15,8.59766277,0.0,0.0,0.0,0.0,22.35,37.31218698,10.84,18.09682805,17.5,29.21535893,6.67,11.13522538,18.87,31.50250417,20.05,33.47245409,0.0,0.0,1.18,1.96994992,2609076.54439792,7602.97675608986,"Block Group 1, Census Tract 78.07, District of Columbia, District of Columbia",36,40588,1137.0,1093.0,32.0,1010.0,7.0,2.0,0.0,42.0
