address,engineType,exterior,fuel,interior,name,smartPhoneRequired,vin,lon,lat,date,time_mil
"5420 27th St NW, Washington, DC 20015, USA",CE,GOOD,28,GOOD,R34319,TRUE,WMEFJ5DA7GK140134,-77.05625,38.96162,11/14/2016 9:55,1.47915E+12
"1873-1881 N Highland St, Arlington, VA 22201, USA",CE,GOOD,51,GOOD,EZ4336,FALSE,WMEEJ3BA7EK768825,-77.0943,38.89407,11/14/2016 0:00,1.47911E+12
"4828 27th Pl N, Arlington, VA 22207",CE,GOOD,100,GOOD,R34321,TRUE,WMEFJ5DA8GK127828,-77.13107,38.90406,11/8/2016 16:10,1.47865E+12
"6645 Georgia Ave NW, Washington, DC 20012, USA",CE,GOOD,48,GOOD,EZ9136,FALSE,WMEEJ3BA7EK775094,-77.02709,38.97121,11/19/2016 10:35,1.47958E+12
"2642 N Pershing Dr, Arlington, VA 22201",CE,GOOD,75,GOOD,EW7157,FALSE,WMEEJ3BA7EK764614,-77.09004,38.88077,11/10/2016 9:05,1.4788E+12
"7135 Piney Branch Rd NW, Washington, DC 20012, USA",CE,GOOD,90,GOOD,R34063,FALSE,WMEEJ3BA5EK733183,-77.01974,38.97748,12/4/2016 3:10,1.48085E+12
"1901-1931 N Sycamore St, Arlington, VA 22205, USA",CE,GOOD,66,GOOD,EW7144,FALSE,WMEEJ3BA0EK768035,-77.15611,38.88525,12/2/2016 9:05,1.4807E+12
"5011 14th St NW, Washington, DC 20011",CE,GOOD,53,GOOD,R34441,TRUE,WMEFJ5DA0GK123255,-77.03334,38.95116,11/8/2016 16:40,1.47865E+12
"1205-1207 Queen St NE, Washington, DC 20002",CE,GOOD,100,GOOD,EK6759,FALSE,WMEEJ3BA7DK626019,-76.98689,38.90693,11/8/2016 13:30,1.47864E+12
"900-998 Tuckerman St NW, Washington, DC 20011, USA",CE,GOOD,100,GOOD,EW7120,FALSE,WMEEJ3BA0EK772568,-77.02693,38.96723,11/25/2016 13:35,1.48011E+12
"450 Taylor St NE, Washington, DC 20017, USA",CE,GOOD,57,GOOD,R34071,FALSE,WMEEJ3BA7EK733069,-77.00161,38.94194,11/14/2016 0:15,1.47911E+12
"201-263 Allison St NW, Washington, DC 20011, USA",CE,GOOD,87,GOOD,EN9948,TRUE,WMEFJ5DA6GK123342,-77.01506,38.94545,11/27/2016 3:25,1.48025E+12
"6896 Laurel St NW, Washington, DC 20012, USA",CE,GOOD,40,GOOD,R34443,TRUE,WMEFJ5DAXGK123683,-77.01303,38.97374,11/25/2016 22:20,1.48014E+12
"1500-1574 S Hayes St, Arlington, VA 22202, USA",CE,GOOD,33,GOOD,EW7163,FALSE,WMEEJ3BAXEK748634,-77.05977,38.85946,12/2/2016 21:10,1.48074E+12
"3355 Frankford St SE, Washington, DC 20020, USA",CE,GOOD,100,GOOD,R34056,FALSE,WMEEJ3BA3EK733599,-76.95913,38.85642,11/25/2016 16:00,1.48012E+12
"2519-2579 Arlington Blvd, Arlington, VA 22201, USA",CE,GOOD,21,GOOD,EZ4360,FALSE,WMEEJ3BA0EK773445,-77.0867,38.87445,11/25/2016 1:45,1.48007E+12
"1601-1781 39th St NW, Washington, DC 20007, USA",CE,GOOD,65,GOOD,EC6549,TRUE,WMEFJ5DA6GK138990,-77.07555,38.91366,11/29/2016 7:05,1.48043E+12
"2118 3rd St NE, Washington, DC 20002, USA",CE,GOOD,68,GOOD,EC6556,TRUE,WMEFJ5DA7GK139792,-77.00207,38.91864,11/15/2016 4:05,1.47921E+12
"3013 Beech St NW, Washington, DC 20015, USA",CE,GOOD,43,GOOD,EP0411,TRUE,WMEFJ5DA3GK138915,-77.05327,38.97718,11/23/2016 11:10,1.47993E+12
"2066-2074 15th St N, Arlington, VA 22201, USA",CE,GOOD,36,GOOD,FB7690,FALSE,WMEEJ3BA0EK771873,-77.08422,38.89078,11/29/2016 15:40,1.48046E+12
"125 Bates St NW, Washington, DC 20001",CE,GOOD,68,GOOD,R34433,TRUE,WMEFJ5DA2GK140526,-77.01307,38.91038,11/8/2016 17:10,1.47865E+12
"1401-1543 Fairfax Dr, Arlington, VA 22209, USA",CE,GOOD,100,GOOD,EU6640,FALSE,WMEEJ3BA9EK766588,-77.07243,38.89292,11/11/2016 23:40,1.47894E+12
"2005-2033 Wilson Blvd, Arlington, VA 22201",CE,GOOD,100,GOOD,EW7124,FALSE,WMEEJ3BA5EK768533,-77.08271,38.89227,11/8/2016 14:10,1.47864E+12
"2300 Decatur Pl NW, Washington, DC 20008, USA",CE,GOOD,100,GOOD,EU6666,FALSE,WMEEJ3BA0EK748867,-77.05058,38.91332,11/12/2016 16:05,1.479E+12
"315 S Garfield St, Arlington, VA 22204, USA",CE,GOOD,69,GOOD,EU6680,FALSE,WMEEJ3BA0EK748318,-77.08991,38.86934,11/30/2016 11:10,1.48053E+12
"2822 Arizona Terrace NW, Washington, DC 20016, USA",CE,GOOD,60,GOOD,EU6700,FALSE,WMEEJ3BA1EK762423,-77.1034,38.92854,12/4/2016 20:55,1.48091E+12
"2467 Sherman Ave NW, Washington, DC 20001, USA",CE,GOOD,78,GOOD,R33880,TRUE,WMEFJ5DA8GK139221,-77.02529,38.92266,11/18/2016 14:55,1.47951E+12
"3501-3647 Ely Pl SE, Washington, DC 20019, USA",CE,GOOD,21,GOOD,EU6683,FALSE,WMEEJ3BA5EK762649,-76.95447,38.88368,11/28/2016 23:40,1.48041E+12
"1009 N Kensington St, Arlington, VA 22205, USA",CE,GOOD,90,GOOD,EU6700,FALSE,WMEEJ3BA1EK762423,-77.13289,38.88059,11/28/2016 0:15,1.48032E+12
"5823 Sherier Pl NW, Washington, DC 20016, USA",CE,GOOD,39,GOOD,EU6706,FALSE,WMEEJ3BA6EK762935,-77.11221,38.93481,11/15/2016 5:35,1.47922E+12
"5801-5901 9th St NW, Washington, DC 20011, USA",CE,GOOD,100,GOOD,R33751,FALSE,WMEEJ3BA3EK734770,-77.02593,38.96125,11/10/2016 15:00,1.47882E+12
"35th Street South, Arlington, VA 22202",CE,GOOD,60,GOOD,EK6791,FALSE,WMEEJ3BA1DK618806,-77.05081,38.84424,11/11/2016 6:45,1.47888E+12
"6217 2nd St NW, Washington, DC 20011, USA",CE,GOOD,37,GOOD,R34337,TRUE,WMEFJ5DA2GK139974,-77.01362,38.9656,11/24/2016 10:25,1.48001E+12
